 "lexp" , "perf" , "genre" , "yoc" ,
 "http://data.open.ac.uk/led/lexp/1424374609798" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Romance+for+viola+and+orchestra/1424374439930/1424374439943" , "http://dbpedia.org/resource/Classical_music" , "18" ,
 "http://data.open.ac.uk/led/lexp/1450109709362" , "http://data.open.ac.uk/led/performance/31a8999c3078961c079cfa726cbca597/1450109682336" , "http://dbpedia.org/resource/Classical_music" , "15" ,
 "http://data.open.ac.uk/led/lexp/1409692544795" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Symphony+Orchestra+concert/1409692518641/1409692518647" , "http://dbpedia.org/resource/Classical_music" , "18" ,
 "http://data.open.ac.uk/led/lexp/1434462805694" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Beethoven's+Violin+Concerto/1433270479137/1434462771946" , "http://dbpedia.org/resource/Classical_music" , "21" ,
 "http://data.open.ac.uk/led/lexp/1425428001979" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Emperor+Concerto+/+Mendelssohn+cello+sonatas/1425427975185/1425427975198" , "http://dbpedia.org/resource/Classical_music" , "20" ,
 "http://data.open.ac.uk/led/lexp/1392132841557" , "http://data.open.ac.uk/led/performance/improvisations+(,+performance+of)/1392132519762" , "http://dbpedia.org/resource/Classical_music" , "14" ,
 "http://data.open.ac.uk/led/lexp/1427917890676" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/B+minor+Sonata/1401880228867/1427917870944" , "http://dbpedia.org/resource/Classical_music" , "21" ,
 "http://data.open.ac.uk/led/lexp/1432545258735" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Sonata+in+B+Minor/1432545238572/1432545238583" , "http://dbpedia.org/resource/Classical_music" , "12" ,
 "http://data.open.ac.uk/led/lexp/1406225674662" , "http://data.open.ac.uk/led/performance/http://led.kmi.open.ac.uk/item/music/Rachmaninoff's+Second+Piano+Concerto,+performed+by+the+composer+in+pre-revolutionary+St.+Petersburg/1406225644224/1406225644228" , "http://dbpedia.org/resource/Classical_music" , "15" ,
 "http://data.open.ac.uk/led/lexp/1392145163569" , "http://data.open.ac.uk/led/performance/piano+arrangements+(,+performance+of)/1392144876294" , "http://dbpedia.org/resource/Classical_music" , "18" ,
 "http://data.open.ac.uk/led/lexp/1425428483059" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Dvo%25C5%2599%25C3%25A1k+Cello+Concerto/1406057330519/1425428469701" , "http://dbpedia.org/resource/Classical_music" , "21" ,
 "http://data.open.ac.uk/led/lexp/1435064554383" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/jazz+trumpet+performance/1430820397642/1435064526940" , "http://dbpedia.org/resource/Jazz" , "22" ,
 "http://data.open.ac.uk/led/lexp/1402054508168" , "http://data.open.ac.uk/led/performance/The+Old+Bull+and+Bush+(,+performance+of)/1402054480755" , "http://dbpedia.org/resource/Popular_music" , "15" ,
 "http://data.open.ac.uk/led/lexp/1450110653714" , "http://data.open.ac.uk/led/performance/5f48911855a8f49e316cc1877b425b47/1450110544670" , "http://dbpedia.org/resource/Song" , "18" ,
 "http://data.open.ac.uk/led/lexp/1456497666814" , "http://data.open.ac.uk/led/performance/edadaf0c5e5556be7e42377213187085/1456497606377" , "http://dbpedia.org/resource/Song" , "21" ,
 "http://data.open.ac.uk/led/lexp/1436031656479" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Blues+trumpet+music/1433676449611/1436031615951" , "http://dbpedia.org/resource/Blues" , "21" ,
 "http://data.open.ac.uk/led/lexp/1435249586116" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Blues/1427203759180/1435249541619" , "http://dbpedia.org/resource/Blues" , "21" ,
 "http://data.open.ac.uk/led/lexp/1406225674662" , "http://data.open.ac.uk/led/performance/http://led.kmi.open.ac.uk/item/music/Rachmaninoff's+Second+Piano+Concerto,+performed+by+the+composer+in+pre-revolutionary+St.+Petersburg/1406225644224/1406225644228" , "http://dbpedia.org/resource/Concerto" , "15" ,
 "http://data.open.ac.uk/led/lexp/1435251926787" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Concerto+for+two+violins/1435251853948/1435251853960" , "http://dbpedia.org/resource/Concerto" , "15" ,
 "http://data.open.ac.uk/led/lexp/1450292939086" , "http://data.open.ac.uk/led/performance/907b1103537080da8b105f19f508b7b0/1450292916462" , "http://dbpedia.org/resource/Concerto" , "14" ,
 "http://data.open.ac.uk/led/lexp/1450196230882" , "http://data.open.ac.uk/led/performance/ddec3175c8cb104c6d3206172f9a13d7/1450196199690" , "http://dbpedia.org/resource/Symphony" , "21" ,
 "http://data.open.ac.uk/led/lexp/1450292939086" , "http://data.open.ac.uk/led/performance/907b1103537080da8b105f19f508b7b0/1450292916462" , "http://dbpedia.org/resource/Baroque_music" , "14" ,
 "http://data.open.ac.uk/led/lexp/1409693248514" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Adagio+from+Bach+Solo+Sonata+for+violin+in+G+minor/1409693226133/1409693226140" , "http://dbpedia.org/resource/Baroque_music" , "21" ,
 "http://data.open.ac.uk/led/lexp/1448981022784" , "http://data.open.ac.uk/led/performance/78b3bc9171f6b31f86b199ce806e4570/1448980963601" , "http://dbpedia.org/resource/Contemporary_classical_music" , "14" ,
 "http://data.open.ac.uk/led/lexp/1432545258735" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Sonata+in+B+Minor/1432545238572/1432545238583" , "http://dbpedia.org/resource/Sonata" , "12" ,
 "http://data.open.ac.uk/led/lexp/1435559512755" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/In+dulce+iubilo/1435559386997/1435559450991" , "http://dbpedia.org/resource/Christmas_carol" , "12" ,
 "http://data.open.ac.uk/led/lexp/1464521197151" , "http://data.open.ac.uk/led/performance/ba13bbdc521ef8fe9cf9ce4c2e7c3387/1464521164207" , "http://dbpedia.org/resource/Piano_concerto" , "25" ,
 "http://data.open.ac.uk/led/lexp/1456497028646" , "http://data.open.ac.uk/led/performance/cd4dd9fc160299940635160a61c9944d/1456497013486" , "http://dbpedia.org/resource/Piano_sonata" , "20" ,
 "http://data.open.ac.uk/led/lexp/1450292939086" , "http://data.open.ac.uk/led/performance/7971f8bfc77ea67cbe659ca8517fb019/1450292816429" , "http://dbpedia.org/resource/Violin_concerto" , "14" ,
 "http://data.open.ac.uk/led/lexp/1464521197151" , "http://data.open.ac.uk/led/performance/ba13bbdc521ef8fe9cf9ce4c2e7c3387/1464521164207" , "http://dbpedia.org/resource/20th-century_classical_music" , "25" ,
 "http://data.open.ac.uk/led/lexp/1460128193495" , "http://data.open.ac.uk/led/performance/41960f87997b9fc1f3febe046d6c9258/1460128162950" , "http://dbpedia.org/resource/20th-century_classical_music" , "24" ,
 "http://data.open.ac.uk/led/lexp/1450293192897" , "http://data.open.ac.uk/led/performance/491ffaa0978662bdd3d0bae60fadd6f0/1450293177909" , "http://dbpedia.org/resource/Ballet_(music)" , "20" ,
 "http://data.open.ac.uk/led/lexp/1450292939086" , "http://data.open.ac.uk/led/performance/491ffaa0978662bdd3d0bae60fadd6f0/1450292543602" , "http://dbpedia.org/resource/Ballet_(music)" , "14" ,
