 "genre" , "genrefrequency" ,
 "http://dbpedia.org/resource/Classical_music" , "138" ,
 "http://dbpedia.org/resource/Opera" , "78" ,
 "http://dbpedia.org/resource/Solo_(music)" , "36" ,
 "http://dbpedia.org/resource/Ballet_(music)" , "14" ,
 "http://dbpedia.org/resource/Chamber_music" , "14" ,
 "http://dbpedia.org/resource/Grand_opera" , "13" ,
 "http://dbpedia.org/resource/Religious_music" , "12" ,
 "http://dbpedia.org/resource/Folk_music" , "12" ,
 "http://dbpedia.org/resource/Jazz" , "10" ,
 "http://dbpedia.org/resource/Popular_music" , "10" ,
 "http://dbpedia.org/resource/String_quartet" , "10" ,
 "http://dbpedia.org/resource/Melodrama" , "8" ,
 "http://dbpedia.org/resource/20th-century_classical_music" , "6" ,
 "http://dbpedia.org/resource/Song" , "6" ,
 "http://dbpedia.org/resource/Symphony" , "6" ,
 "http://dbpedia.org/resource/Dance_music" , "6" ,
 "http://dbpedia.org/resource/Sonata" , "6" ,
 "http://dbpedia.org/resource/Ballad" , "6" ,
 "http://dbpedia.org/resource/Cantata" , "4" ,
 "http://dbpedia.org/resource/Baroque_music" , "3" ,
 "http://dbpedia.org/resource/Operetta" , "3" ,
 "http://dbpedia.org/resource/Modern_music" , "3" ,
 "http://dbpedia.org/resource/Concerto" , "2" ,
 "http://dbpedia.org/resource/Piano_concerto" , "2" ,
 "http://dbpedia.org/resource/Piano_solo" , "2" ,
 "http://data.open.ac.uk/led/musicgenre/jazz+singing" , "2" ,
 "http://dbpedia.org/resource/Madrigal" , "2" ,
 "http://data.open.ac.uk/led/musicgenre/musical+comedy" , "1" ,
 "http://dbpedia.org/resource/Bagatelle_(music)" , "1" ,
 "http://dbpedia.org/resource/Rhapsody_(music)" , "1" ,
 "http://dbpedia.org/resource/Slovak_folk_music" , "1" ,
 "http://dbpedia.org/resource/Chorale" , "1" ,
 "http://dbpedia.org/resource/Incidental_music" , "1" ,
 "http://dbpedia.org/resource/Requiem" , "1" ,
 "http://dbpedia.org/resource/Piano_quartet" , "1" ,
 "http://dbpedia.org/resource/Op%C3%A9ra_comique" , "1" ,
 "http://data.open.ac.uk/led/musicgenre/Musical+Comedy" , "1" ,
 "http://dbpedia.org/resource/Wedding_music" , "1" ,
 "http://data.open.ac.uk/led/musicgenre/symphonic+study" , "1" ,
