 "lexp" , "perf" , "perflabel" , "yoc" ,
 "http://data.open.ac.uk/led/lexp/1402915111602" , "http://data.open.ac.uk/led/performance/Auld+Lang+Syne+(,+performance+of)/1402914941460" , "performance of 'Auld Lang Syne'" , "19" ,
 "http://data.open.ac.uk/led/lexp/1432133882847" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Delius's+cello+concerto/1434710922093/1434710922105" , "performance of 'Delius's cello concerto'" , "23" ,
 "http://data.open.ac.uk/led/lexp/1397647732639" , "http://data.open.ac.uk/led/performance/The+Crucifixion+(,+performance+of)/1397647660610" , "performance of 'The Crucifixion'" , "16" ,
 "http://data.open.ac.uk/led/lexp/1435560377740" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Goodbye+Virginia/1435560272956/1435560272968" , "performance of 'Goodbye Virginia'" , "16" ,
 "http://data.open.ac.uk/led/lexp/1392140915897" , "http://data.open.ac.uk/led/performance/unspecified+Greek+music+(,+performance+of)/1392140656774" , "performance of 'unspecified Greek music'" , "17" ,
 "http://data.open.ac.uk/led/lexp/1399651207005" , "http://data.open.ac.uk/led/performance/Marseillaise+(,+performance+of)/1399651128653" , "performance of 'Marseillaise'" , "18" ,
 "http://data.open.ac.uk/led/lexp/1401896542980" , "http://data.open.ac.uk/led/performance/The+Braban%C3%A7onne+(,+performance+of)/1401896487416" , "performance of 'The Braban��onne'" , "18" ,
 "http://data.open.ac.uk/led/lexp/1460137346265" , "http://data.open.ac.uk/led/performance/0dbccfc860de3b8cdf1586f82bf3a947/1460137283230" , "performance of 'Rehearsing 'Boris Godunov''" , "24" ,
 "http://data.open.ac.uk/led/lexp/1434889017227" , "http://data.open.ac.uk/led/performance/http://data.open.ac.uk/led/music/Mavra+(1922)/1396427364210/1434888987776" , "performance of 'Mavra (1922)'" , "22" ,
 "http://data.open.ac.uk/led/lexp/1481832898957" , "http://data.open.ac.uk/led/performance/673d6fb7b289a73acce04190f41f83b3/1481832758885" , "performance of ''Mavra''" , "22" ,
 "http://data.open.ac.uk/led/lexp/1401894545279" , "http://data.open.ac.uk/led/performance/O+God+Our+Help+in+Ages+Past+(,+performance+of)/1401894430505" , "performance of 'O God Our Help in Ages Past'" , "15" ,
 "http://data.open.ac.uk/led/lexp/1447582364824" , "http://data.open.ac.uk/led/performance/bb7202707d09d88eb38625f059d3e70f/1447582338182" , "performance of 'O that will be glory for me'" , "17" ,
 "http://data.open.ac.uk/led/lexp/1392134703765" , "http://data.open.ac.uk/led/performance/English+hymn+(,+performance+of)/1392134828632" , "performance of 'English hymn'" , "17" ,
 "http://data.open.ac.uk/led/lexp/1396630877283" , "http://data.open.ac.uk/led/performance/Abide+With+Me+(,+performance+of)/1396630840832" , "performance of 'Abide With Me'" , "15" ,
