,genre_label
Classical_music,110
Ballet_(music),29
Opera,26
Song,16
Piano_concerto,14
Romantic_music,12
Song_cycle,9
Hymn,9
Jazz,8
Symphony,7
Popular_music,6
Piano_solo,6
Oratorio,5
Violin_concerto,5
National_anthem,5
Traditional_music,4
Concerto,4
March_(music),4
Blues,4
Folk_music,4
Piano_sonata,4
Sonata,3
Lied,3
Suite_(music),3
String_quartet,3
Christmas_carol,2
Church_music,2
romantic+song,2
Baroque_music,2
Overture,2
Mass_(music),2
traditional+songs,2
opera-ballet,2
Transcription_(music),2
Religious_music,2
traditional+song,1
Coronation+anthem,1
Christmas_music,1
choral+ballad,1
Sonatina,1
Symphonic_poem,1
Aria,1
Music_of_New_Orleans,1
Oriental_music,1
Piano_transcription,1
Music_of_Wales,1
Instrumental,1
Dance_music,1
Anthem,1
Traditional_Japanese_music,1
hebridean+song,1
Contemporary_classical_music,1
violin+repertoire,1
traditional+hebridean,1
Solo_(music),1
Funeral_march,1
Ragtime,1
Organ_repertoire,1
Coon_song,1
Liturgical_music,1
Patriotic_song,1
Ethnic_Russian_music,1
Humouresque,1
