performer,plabel
http://www.wikidata.org/entity/Q261,Linkin Park
http://www.wikidata.org/entity/Q261,Linkin Park
http://www.wikidata.org/entity/Q261,Linkin Park
http://www.wikidata.org/entity/Q261,Linkin Park
http://www.wikidata.org/entity/Q1203,John Lennon
http://www.wikidata.org/entity/Q1203,John Lennon
http://www.wikidata.org/entity/Q1203,John Lennon
http://www.wikidata.org/entity/Q23479,HIM
http://www.wikidata.org/entity/Q23479,HIM
http://www.wikidata.org/entity/Q23479,HIM
http://www.wikidata.org/entity/Q8298,David Guetta
http://www.wikidata.org/entity/Q8298,David Guetta
http://www.wikidata.org/entity/Q8298,David Guetta
http://www.wikidata.org/entity/Q6096,Snoop Dogg
http://www.wikidata.org/entity/Q6096,Snoop Dogg
http://www.wikidata.org/entity/Q6096,Snoop Dogg
http://www.wikidata.org/entity/Q8298,David Guetta
http://www.wikidata.org/entity/Q1225,Bruce Springsteen
http://www.wikidata.org/entity/Q1225,Bruce Springsteen
http://www.wikidata.org/entity/Q1225,Bruce Springsteen
http://www.wikidata.org/entity/Q4636,Barbra Streisand
http://www.wikidata.org/entity/Q4636,Barbra Streisand
http://www.wikidata.org/entity/Q4636,Barbra Streisand
http://www.wikidata.org/entity/Q2831,Michael Jackson
http://www.wikidata.org/entity/Q11617,Aaliyah
http://www.wikidata.org/entity/Q11617,Aaliyah
http://www.wikidata.org/entity/Q11617,Aaliyah
http://www.wikidata.org/entity/Q8349,"""Weird Al"" Yankovic"
http://www.wikidata.org/entity/Q8349,"""Weird Al"" Yankovic"
http://www.wikidata.org/entity/Q10708,Red Hot Chili Peppers
http://www.wikidata.org/entity/Q10708,Red Hot Chili Peppers
http://www.wikidata.org/entity/Q11975,Britney Spears
http://www.wikidata.org/entity/Q11975,Britney Spears
http://www.wikidata.org/entity/Q11975,Britney Spears
http://www.wikidata.org/entity/Q11647,Nine Inch Nails
http://www.wikidata.org/entity/Q8349,"""Weird Al"" Yankovic"
http://www.wikidata.org/entity/Q11975,Britney Spears
http://www.wikidata.org/entity/Q11998,Kylie Minogue
http://www.wikidata.org/entity/Q11998,Kylie Minogue
http://www.wikidata.org/entity/Q11998,Kylie Minogue
http://www.wikidata.org/entity/Q14313,Pharrell Williams
http://www.wikidata.org/entity/Q26876,Taylor Swift
http://www.wikidata.org/entity/Q14313,Pharrell Williams
http://www.wikidata.org/entity/Q14313,Pharrell Williams
http://www.wikidata.org/entity/Q15615,Lil Wayne
http://www.wikidata.org/entity/Q15615,Lil Wayne
http://www.wikidata.org/entity/Q15615,Lil Wayne
http://www.wikidata.org/entity/Q15935,Kanye West
http://www.wikidata.org/entity/Q15935,Kanye West
http://www.wikidata.org/entity/Q15935,Kanye West
http://www.wikidata.org/entity/Q51118,AKB48
http://www.wikidata.org/entity/Q51118,AKB48
http://www.wikidata.org/entity/Q51118,AKB48
http://www.wikidata.org/entity/Q26876,Taylor Swift
http://www.wikidata.org/entity/Q26876,Taylor Swift
http://www.wikidata.org/entity/Q26876,Taylor Swift
http://www.wikidata.org/entity/Q34584,Anastacia
http://www.wikidata.org/entity/Q305161,Pasha Parfeny
http://www.wikidata.org/entity/Q2000851,The Avalanches
http://www.wikidata.org/entity/Q25177,Rammstein
http://www.wikidata.org/entity/Q25177,Rammstein
http://www.wikidata.org/entity/Q2831,Michael Jackson
http://www.wikidata.org/entity/Q19848,Lady Gaga
http://www.wikidata.org/entity/Q19848,Lady Gaga
http://www.wikidata.org/entity/Q19848,Lady Gaga
http://www.wikidata.org/entity/Q36844,Rihanna
http://www.wikidata.org/entity/Q2831,Michael Jackson
http://www.wikidata.org/entity/Q19848,Lady Gaga
http://www.wikidata.org/entity/Q2599,Paul McCartney
http://www.wikidata.org/entity/Q2599,Paul McCartney
http://www.wikidata.org/entity/Q2599,Paul McCartney
http://www.wikidata.org/entity/Q12831,Gossip
http://www.wikidata.org/entity/Q12003,Cher
http://www.wikidata.org/entity/Q12003,Cher
http://www.wikidata.org/entity/Q12831,Gossip
http://www.wikidata.org/entity/Q12831,Gossip
http://www.wikidata.org/entity/Q1450,Bruno Mars
http://www.wikidata.org/entity/Q1450,Bruno Mars
http://www.wikidata.org/entity/Q1450,Bruno Mars
http://www.wikidata.org/entity/Q5608,Eminem
http://www.wikidata.org/entity/Q5608,Eminem
http://www.wikidata.org/entity/Q5608,Eminem
http://www.wikidata.org/entity/Q12003,Cher
http://www.wikidata.org/entity/Q5104,Miranda Cosgrove
http://www.wikidata.org/entity/Q5104,Miranda Cosgrove
http://www.wikidata.org/entity/Q5104,Miranda Cosgrove
http://www.wikidata.org/entity/Q4473,Jennette McCurdy
http://www.wikidata.org/entity/Q4473,Jennette McCurdy
http://www.wikidata.org/entity/Q33240,Drake
http://www.wikidata.org/entity/Q33605,Kesha
http://www.wikidata.org/entity/Q33605,Kesha
http://www.wikidata.org/entity/Q409,Bob Marley
http://www.wikidata.org/entity/Q409,Bob Marley
http://www.wikidata.org/entity/Q409,Bob Marley
http://www.wikidata.org/entity/Q34086,Justin Bieber
http://www.wikidata.org/entity/Q34086,Justin Bieber
http://www.wikidata.org/entity/Q34086,Justin Bieber
http://www.wikidata.org/entity/Q18814,Jessie J
http://www.wikidata.org/entity/Q18814,Jessie J
http://www.wikidata.org/entity/Q18814,Jessie J
http://www.wikidata.org/entity/Q20672,Pendulum
http://www.wikidata.org/entity/Q20672,Pendulum
http://www.wikidata.org/entity/Q20672,Pendulum
http://www.wikidata.org/entity/Q1450,Bruno Mars
http://www.wikidata.org/entity/Q2306,Pink Floyd
http://www.wikidata.org/entity/Q2306,Pink Floyd
http://www.wikidata.org/entity/Q2306,Pink Floyd
http://www.wikidata.org/entity/Q15935,Kanye West
http://www.wikidata.org/entity/Q18814,Jessie J
http://www.wikidata.org/entity/Q26695,Lionel Richie
http://www.wikidata.org/entity/Q47871,Green Day
http://www.wikidata.org/entity/Q36844,Rihanna
http://www.wikidata.org/entity/Q33240,Drake
http://www.wikidata.org/entity/Q26695,Lionel Richie
http://www.wikidata.org/entity/Q26695,Lionel Richie
http://www.wikidata.org/entity/Q5608,Eminem
http://www.wikidata.org/entity/Q33605,Kesha
http://www.wikidata.org/entity/Q36153,Beyoncé
http://www.wikidata.org/entity/Q36153,Beyoncé
http://www.wikidata.org/entity/Q36153,Beyoncé
http://www.wikidata.org/entity/Q6107,Tupac Shakur
http://www.wikidata.org/entity/Q6107,Tupac Shakur
http://www.wikidata.org/entity/Q6107,Tupac Shakur
http://www.wikidata.org/entity/Q4473,Jennette McCurdy
http://www.wikidata.org/entity/Q40715,Jennifer Lopez
http://www.wikidata.org/entity/Q6060,50 Cent
http://www.wikidata.org/entity/Q6060,50 Cent
http://www.wikidata.org/entity/Q6060,50 Cent
http://www.wikidata.org/entity/Q3817781,Ké
http://www.wikidata.org/entity/Q41076,Mariah Carey
http://www.wikidata.org/entity/Q47871,Green Day
http://www.wikidata.org/entity/Q47871,Green Day
http://www.wikidata.org/entity/Q58735,Lily Allen
http://www.wikidata.org/entity/Q58735,Lily Allen
http://www.wikidata.org/entity/Q58735,Lily Allen
http://www.wikidata.org/entity/Q18802,Eva Simons
http://www.wikidata.org/entity/Q18802,Eva Simons
http://www.wikidata.org/entity/Q18802,Eva Simons
http://www.wikidata.org/entity/Q6078,Dr. Dre
http://www.wikidata.org/entity/Q6078,Dr. Dre
http://www.wikidata.org/entity/Q6078,Dr. Dre
http://www.wikidata.org/entity/Q19004,Skrillex
http://www.wikidata.org/entity/Q19004,Skrillex
http://www.wikidata.org/entity/Q19004,Skrillex
http://www.wikidata.org/entity/Q19004,Skrillex
http://www.wikidata.org/entity/Q152066,Take That
http://www.wikidata.org/entity/Q126826,Aerosmith
http://www.wikidata.org/entity/Q126826,Aerosmith
http://www.wikidata.org/entity/Q131324,Janet Jackson
http://www.wikidata.org/entity/Q34086,Justin Bieber
http://www.wikidata.org/entity/Q45354,The Doors
http://www.wikidata.org/entity/Q45354,The Doors
http://www.wikidata.org/entity/Q45354,The Doors
http://www.wikidata.org/entity/Q41594,Christina Aguilera
http://www.wikidata.org/entity/Q157327,Silverchair
http://www.wikidata.org/entity/Q70331,Cornelia Froboess
http://www.wikidata.org/entity/Q70331,Cornelia Froboess
http://www.wikidata.org/entity/Q70331,Cornelia Froboess
http://www.wikidata.org/entity/Q83493,Susan Boyle
http://www.wikidata.org/entity/Q44709,Jean-Jacques Goldman
http://www.wikidata.org/entity/Q44709,Jean-Jacques Goldman
http://www.wikidata.org/entity/Q44709,Jean-Jacques Goldman
http://www.wikidata.org/entity/Q27417,Modern Talking
http://www.wikidata.org/entity/Q20715,Steve Angello
http://www.wikidata.org/entity/Q20713,Axwell
http://www.wikidata.org/entity/Q20717,Sebastian Ingrosso
http://www.wikidata.org/entity/Q20717,Sebastian Ingrosso
http://www.wikidata.org/entity/Q20717,Sebastian Ingrosso
http://www.wikidata.org/entity/Q20715,Steve Angello
http://www.wikidata.org/entity/Q20715,Steve Angello
http://www.wikidata.org/entity/Q20715,Steve Angello
http://www.wikidata.org/entity/Q117139,Wiz Khalifa
http://www.wikidata.org/entity/Q117139,Wiz Khalifa
http://www.wikidata.org/entity/Q117139,Wiz Khalifa
http://www.wikidata.org/entity/Q16402,Monty Python
http://www.wikidata.org/entity/Q16402,Monty Python
http://www.wikidata.org/entity/Q16402,Monty Python
http://www.wikidata.org/entity/Q20713,Axwell
http://www.wikidata.org/entity/Q20713,Axwell
http://www.wikidata.org/entity/Q20150,Psy
http://www.wikidata.org/entity/Q20150,Psy
http://www.wikidata.org/entity/Q49009,deadmau5
http://www.wikidata.org/entity/Q49009,deadmau5
http://www.wikidata.org/entity/Q49009,deadmau5
http://www.wikidata.org/entity/Q42493,Katy Perry
http://www.wikidata.org/entity/Q42493,Katy Perry
http://www.wikidata.org/entity/Q42493,Katy Perry
http://www.wikidata.org/entity/Q42493,Katy Perry
http://www.wikidata.org/entity/Q43267,The Jackson 5
http://www.wikidata.org/entity/Q43267,The Jackson 5
http://www.wikidata.org/entity/Q43267,The Jackson 5
http://www.wikidata.org/entity/Q20153,Girls' Generation
http://www.wikidata.org/entity/Q20153,Girls' Generation
http://www.wikidata.org/entity/Q20153,Girls' Generation
http://www.wikidata.org/entity/Q20926,Flux Pavilion
http://www.wikidata.org/entity/Q20717,Sebastian Ingrosso
http://www.wikidata.org/entity/Q20926,Flux Pavilion
http://www.wikidata.org/entity/Q20926,Flux Pavilion
http://www.wikidata.org/entity/Q20926,Flux Pavilion
http://www.wikidata.org/entity/Q21075,Mattafix
http://www.wikidata.org/entity/Q21075,Mattafix
http://www.wikidata.org/entity/Q21075,Mattafix
http://www.wikidata.org/entity/Q21076,Marlon Roudette
http://www.wikidata.org/entity/Q21076,Marlon Roudette
http://www.wikidata.org/entity/Q21076,Marlon Roudette
http://www.wikidata.org/entity/Q45188,Coldplay
http://www.wikidata.org/entity/Q49724,Hoobastank
http://www.wikidata.org/entity/Q49724,Hoobastank
http://www.wikidata.org/entity/Q49724,Hoobastank
http://www.wikidata.org/entity/Q12349,Inna
http://www.wikidata.org/entity/Q12349,Inna
http://www.wikidata.org/entity/Q12349,Inna
http://www.wikidata.org/entity/Q62766,Jay-Z
http://www.wikidata.org/entity/Q62766,Jay-Z
http://www.wikidata.org/entity/Q62766,Jay Z
http://www.wikidata.org/entity/Q160009,Pink
http://www.wikidata.org/entity/Q158462,Lynyrd Skynyrd
http://www.wikidata.org/entity/Q158462,Lynyrd Skynyrd
http://www.wikidata.org/entity/Q158462,Lynyrd Skynyrd
http://www.wikidata.org/entity/Q155412,Toni Braxton
http://www.wikidata.org/entity/Q155412,Toni Braxton
http://www.wikidata.org/entity/Q155412,Toni Braxton
http://www.wikidata.org/entity/Q43432,Justin Timberlake
http://www.wikidata.org/entity/Q43432,Justin Timberlake
http://www.wikidata.org/entity/Q43432,Justin Timberlake
http://www.wikidata.org/entity/Q20150,Psy
http://www.wikidata.org/entity/Q182890,Def Leppard
http://www.wikidata.org/entity/Q182223,Maroon 5
http://www.wikidata.org/entity/Q182223,Maroon 5
http://www.wikidata.org/entity/Q169145,10cc
http://www.wikidata.org/entity/Q166197,Luke Bryan
http://www.wikidata.org/entity/Q166197,Luke Bryan
http://www.wikidata.org/entity/Q166197,Luke Bryan
http://www.wikidata.org/entity/Q25507,Accept
http://www.wikidata.org/entity/Q22151,Muse
http://www.wikidata.org/entity/Q22151,Muse
http://www.wikidata.org/entity/Q47122,Enrique Iglesias
http://www.wikidata.org/entity/Q47122,Enrique Iglesias
http://www.wikidata.org/entity/Q48959,Labrinth
http://www.wikidata.org/entity/Q48959,Labrinth
http://www.wikidata.org/entity/Q48959,Labrinth
http://www.wikidata.org/entity/Q161723,t.A.T.u.
http://www.wikidata.org/entity/Q23543,Selena
http://www.wikidata.org/entity/Q23543,Selena
http://www.wikidata.org/entity/Q23543,Selena
http://www.wikidata.org/entity/Q171235,Thalía
http://www.wikidata.org/entity/Q182223,Maroon 5
http://www.wikidata.org/entity/Q171235,Thalía
http://www.wikidata.org/entity/Q171235,Thalía
http://www.wikidata.org/entity/Q27593,AC/DC
http://www.wikidata.org/entity/Q27593,AC/DC
http://www.wikidata.org/entity/Q234754,Shirley Bassey
http://www.wikidata.org/entity/Q160009,Pink
http://www.wikidata.org/entity/Q160009,Pink
http://www.wikidata.org/entity/Q149703,Monika Brodka
http://www.wikidata.org/entity/Q32645,Die Ärzte
http://www.wikidata.org/entity/Q27593,AC/DC
http://www.wikidata.org/entity/Q47122,Enrique Iglesias
http://www.wikidata.org/entity/Q46321,Tinie Tempah
http://www.wikidata.org/entity/Q46321,Tinie Tempah
http://www.wikidata.org/entity/Q46321,Tinie Tempah
http://www.wikidata.org/entity/Q45354,The Doors
http://www.wikidata.org/entity/Q45667,B.o.B
http://www.wikidata.org/entity/Q45667,B.o.B
http://www.wikidata.org/entity/Q45667,B.o.B
http://www.wikidata.org/entity/Q49009,deadmau5
http://www.wikidata.org/entity/Q50971,Rudimental
http://www.wikidata.org/entity/Q50971,Rudimental
http://www.wikidata.org/entity/Q50971,Rudimental
http://www.wikidata.org/entity/Q154815,Billy Talent
http://www.wikidata.org/entity/Q174291,Morning Musume
http://www.wikidata.org/entity/Q34424,Shakira
http://www.wikidata.org/entity/Q183519,Leona Lewis
http://www.wikidata.org/entity/Q183519,Leona Lewis
http://www.wikidata.org/entity/Q183519,Leona Lewis
http://www.wikidata.org/entity/Q22151,Muse
http://www.wikidata.org/entity/Q45188,Coldplay
http://www.wikidata.org/entity/Q45188,Coldplay
http://www.wikidata.org/entity/Q45188,Coldplay
http://www.wikidata.org/entity/Q129668,2 Chainz
http://www.wikidata.org/entity/Q129668,2 Chainz
